,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000114639,1,4,0,7,5,9,5,0,3,2,6,3
ENSMUSG00000114640,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114641,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114642,0,0,0,0,0,2,0,0,2,2,0,0
ENSMUSG00000114643,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114644,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114645,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114646,1,0,0,1,1,0,0,0,1,0,1,0
ENSMUSG00000114647,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114648,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114649,5,6,5,3,3,3,1,2,6,3,8,6
ENSMUSG00000114650,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114651,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114652,0,0,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000114653,2,0,3,3,1,6,3,0,3,7,11,0
ENSMUSG00000114654,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114655,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000114656,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114657,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114658,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114659,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114660,0,2,0,9,0,0,4,7,1,1,0,4
ENSMUSG00000114661,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000114662,2,8,3,6,0,2,1,4,1,1,7,2
ENSMUSG00000114663,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114664,2,0,4,0,4,1,1,1,5,0,0,0
ENSMUSG00000114665,0,0,2,1,0,0,0,0,2,3,0,0
ENSMUSG00000114666,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114667,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114668,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114669,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114670,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114671,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114672,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114673,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114674,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114675,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114676,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114677,0,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000114678,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114679,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114680,13,3,5,4,0,8,3,0,0,2,3,5
ENSMUSG00000114681,0,1,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000114682,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114683,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114684,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114685,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114686,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114687,1,0,2,1,0,3,2,1,2,3,0,0
ENSMUSG00000114688,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114689,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114690,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114691,0,0,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000114692,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114693,0,0,0,0,1,0,1,0,3,0,0,0
ENSMUSG00000114694,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114695,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114696,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114697,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000114698,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114700,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114701,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114702,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114703,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114704,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114705,0,0,0,3,0,0,2,0,0,0,2,0
ENSMUSG00000114706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114707,6,4,5,3,6,3,2,11,2,9,12,0
ENSMUSG00000114708,3,0,1,0,2,2,1,0,0,1,2,2
ENSMUSG00000114709,6,4,14,9,12,3,6,3,6,6,17,3
ENSMUSG00000114710,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114711,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114712,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114713,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114714,0,0,1,0,0,0,0,2,0,0,0,0
ENSMUSG00000114715,2,0,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000114717,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114718,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114719,2,1,1,0,0,0,1,1,0,0,5,1
ENSMUSG00000114720,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114721,0,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000114722,1,1,0,0,0,0,0,0,5,0,3,0
ENSMUSG00000114723,0,0,3,0,1,0,0,0,3,0,1,0
ENSMUSG00000114724,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114725,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114726,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114727,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114728,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114729,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000114730,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114731,0,2,0,0,0,0,1,1,2,0,0,0
ENSMUSG00000114732,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114733,0,0,0,0,0,1,0,4,0,1,0,0
ENSMUSG00000114734,1,1,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000114735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114736,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114737,0,0,0,1,1,0,1,0,0,0,0,0
ENSMUSG00000114738,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000114739,0,0,1,1,0,0,1,0,0,0,1,0
ENSMUSG00000114740,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114741,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114742,1,1,5,3,1,2,1,5,1,3,3,1
ENSMUSG00000114743,1,0,0,0,0,1,0,0,0,2,3,1
ENSMUSG00000114744,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114745,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114746,0,0,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000114747,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114748,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114749,0,0,2,0,2,0,0,0,3,0,4,1
ENSMUSG00000114750,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114751,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114752,0,0,0,0,1,0,2,0,0,0,4,0
ENSMUSG00000114753,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114754,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114755,7,2,0,3,2,8,4,6,4,2,9,7
ENSMUSG00000114756,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114757,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114758,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114759,0,0,0,16,2,0,0,0,8,0,0,0
ENSMUSG00000114760,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114761,1,0,2,1,0,2,0,0,0,3,0,0
ENSMUSG00000114762,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114763,9,0,6,3,0,0,0,0,0,0,0,0
ENSMUSG00000114764,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114765,0,0,0,0,0,1,1,0,0,0,1,0
ENSMUSG00000114766,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114767,0,0,0,0,1,0,0,0,2,0,2,0
ENSMUSG00000114768,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000114769,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000114770,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114771,20,18,8,14,23,29,18,15,21,20,26,22
ENSMUSG00000114772,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114773,0,1,0,0,2,0,0,0,0,0,3,0
ENSMUSG00000114774,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000114775,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114776,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114777,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114778,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114779,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114780,15,10,17,14,9,15,11,24,9,8,6,14
ENSMUSG00000114781,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114782,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114783,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114784,1,0,0,1,2,0,0,0,0,0,0,0
ENSMUSG00000114785,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114786,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114787,2,1,1,7,4,2,3,1,1,0,5,2
ENSMUSG00000114788,0,0,0,0,0,0,0,0,1,0,0,1
ENSMUSG00000114789,0,0,1,0,2,1,0,1,0,3,4,0
ENSMUSG00000114790,5,4,2,1,0,0,0,2,0,0,4,4
ENSMUSG00000114791,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114792,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000114793,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114794,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114795,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114796,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000114797,1035,857,844,691,962,1112,601,664,624,693,1066,1090
ENSMUSG00000114798,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114799,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114800,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114801,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114802,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114803,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114804,2,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000114805,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114806,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114807,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114808,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114809,1,1,0,0,0,2,0,0,2,1,0,0
ENSMUSG00000114810,0,1,0,0,0,0,5,0,0,0,0,0
ENSMUSG00000114811,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114812,0,0,3,0,2,0,0,0,2,0,1,0
ENSMUSG00000114813,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114814,0,0,0,0,0,0,2,0,0,0,1,0
ENSMUSG00000114815,1,0,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000114816,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114817,0,1,0,0,1,1,0,0,0,0,0,0
ENSMUSG00000114818,0,0,0,0,1,0,0,0,0,0,4,0
ENSMUSG00000114819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114820,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114821,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114822,0,1,5,1,5,1,2,2,5,1,4,6
ENSMUSG00000114823,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000114824,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000114825,0,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000114826,0,0,0,1,1,0,2,0,0,0,1,0
ENSMUSG00000114827,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114828,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114829,2,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000114830,0,1,1,0,1,0,0,2,3,0,3,1
ENSMUSG00000114831,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114832,3,2,6,0,1,0,6,2,1,1,4,0
ENSMUSG00000114833,0,0,0,2,0,0,1,0,0,0,0,0
ENSMUSG00000114834,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114835,0,0,5,1,3,1,2,0,2,0,3,0
ENSMUSG00000114836,0,2,0,0,1,0,0,0,0,1,2,0
ENSMUSG00000114837,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114838,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114839,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114840,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114841,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114842,0,0,1,1,1,1,0,1,1,2,3,0
ENSMUSG00000114843,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114844,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114845,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114846,0,2,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114847,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114848,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114849,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114850,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114851,15,12,7,15,7,7,2,6,6,6,13,8
ENSMUSG00000114852,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114853,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114854,6,0,1,7,4,1,4,4,1,1,24,0
ENSMUSG00000114855,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114856,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114857,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000114858,4,1,5,4,3,1,2,1,5,3,2,2
ENSMUSG00000114859,0,1,0,0,1,1,0,0,0,1,1,1
ENSMUSG00000114860,1,3,4,3,0,0,1,10,9,5,0,0
ENSMUSG00000114861,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114862,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114863,1,2,1,0,0,0,0,0,0,0,1,0
ENSMUSG00000114864,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114865,1,0,0,0,0,0,0,0,0,1,1,2
ENSMUSG00000114866,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114867,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114868,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114869,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114870,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114872,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114873,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114874,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114875,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114876,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114877,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114878,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114879,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114880,0,0,0,0,0,0,4,0,5,0,4,1
ENSMUSG00000114881,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000114882,0,0,2,0,0,1,0,0,0,0,0,2
ENSMUSG00000114883,6,0,0,5,0,1,2,0,0,0,3,3
ENSMUSG00000114884,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114885,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114886,2,0,3,2,1,0,1,0,1,4,6,1
ENSMUSG00000114887,0,1,0,0,0,0,2,7,0,1,0,0
ENSMUSG00000114888,2,1,0,0,0,0,3,1,0,0,0,0
ENSMUSG00000114889,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114890,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114891,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114892,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114893,3,0,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000114894,0,0,1,0,0,0,0,0,0,0,2,0
ENSMUSG00000114895,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114896,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000114897,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114898,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114899,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114900,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114901,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114902,0,1,2,1,3,0,0,3,1,2,1,0
ENSMUSG00000114903,0,0,0,0,0,0,0,0,0,2,2,0
ENSMUSG00000114904,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114905,0,0,3,1,3,0,0,0,0,0,0,3
ENSMUSG00000114906,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114907,0,1,1,6,2,1,4,0,0,2,0,3
ENSMUSG00000114908,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114909,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114910,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114911,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114912,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114913,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114914,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114915,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114916,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114917,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114918,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114919,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114920,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000114921,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000114922,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114923,17,0,0,10,17,7,22,0,0,22,0,1
ENSMUSG00000114924,0,0,0,1,0,0,0,0,1,0,1,0
ENSMUSG00000114925,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114926,0,2,0,3,0,0,4,0,0,2,4,0
ENSMUSG00000114927,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114928,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114929,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114930,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114931,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114932,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114933,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114934,3,2,2,4,3,4,2,1,1,1,1,4
ENSMUSG00000114935,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114936,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000114937,1,0,0,0,0,0,0,0,0,2,1,0
ENSMUSG00000114938,0,0,0,0,0,0,0,2,1,0,0,0
ENSMUSG00000114939,0,0,0,0,1,0,1,0,1,0,1,0
ENSMUSG00000114940,2,5,10,3,11,0,4,0,0,2,3,0
ENSMUSG00000114941,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114942,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114943,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000114944,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114945,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000114946,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114947,0,0,0,0,0,0,0,1,0,0,5,0
ENSMUSG00000114948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114949,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114950,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114951,2,5,10,3,11,0,4,0,0,2,3,0
ENSMUSG00000114952,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114953,11,6,5,6,6,10,1,10,4,5,10,3
ENSMUSG00000114954,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114955,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114956,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114957,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114958,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114959,7,3,2,1,3,3,2,10,2,1,2,0
ENSMUSG00000114960,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114961,8,2,0,5,0,6,9,6,2,1,1,4
ENSMUSG00000114962,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114963,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114964,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114965,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114966,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114967,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114968,6,4,0,3,3,1,1,0,0,1,1,1
ENSMUSG00000114969,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114970,14,20,31,19,38,15,25,23,17,30,58,12
ENSMUSG00000114971,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114972,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114973,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114974,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114975,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114976,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114977,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114978,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114979,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114980,0,0,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000114981,0,0,0,0,0,0,2,0,2,0,0,0
ENSMUSG00000114982,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114983,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114984,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114985,0,0,0,3,0,0,3,1,1,2,0,0
ENSMUSG00000114986,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114987,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114988,0,0,1,0,0,0,0,0,0,0,2,0
ENSMUSG00000114989,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000114990,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114991,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114992,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114993,3,0,5,0,0,0,3,0,1,1,2,0
ENSMUSG00000114994,3,1,0,1,0,0,2,1,3,0,2,0
ENSMUSG00000114995,26,23,27,18,17,18,21,20,34,22,32,24
ENSMUSG00000114996,3,2,10,7,7,2,4,6,4,13,12,2
ENSMUSG00000114997,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114998,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000114999,0,0,0,0,0,1,4,3,1,1,2,0
ENSMUSG00000115000,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115001,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115002,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115003,0,0,2,4,4,2,1,1,2,0,0,1
ENSMUSG00000115004,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115005,2,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000115006,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115007,23,24,18,29,32,23,15,15,37,29,31,23
ENSMUSG00000115008,0,2,0,0,0,0,2,0,0,1,0,0
ENSMUSG00000115009,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000115010,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000115011,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115012,6,3,5,5,1,1,1,2,10,6,4,4
ENSMUSG00000115013,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000115014,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115015,0,0,0,0,0,0,0,0,0,0,0,0
